,날짜,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
1,2024-04-24,1587.97,1752.34,1573.88,1551.07,1595.31,1593.38,1603.31,1586.06,1589.78,1593.38,1588.33,1588.0,1570.52,1578.53,1570.74,1574.67,1641.52,1588.23
3,2024-04-25,1588.32,1752.3,1577.2,1550.71,1596.34,1594.19,1603.1,1585.7,1590.68,1594.19,1588.87,1588.26,1570.53,1579.28,1570.43,1574.32,1641.39,1589.14
5,2024-04-26,1588.31,1752.24,1575.25,1551.33,1596.76,1593.91,1603.34,1585.85,1590.82,1593.91,1589.3,1588.33,1570.26,1579.59,1570.17,1574.29,1640.79,1594.41
7,2024-04-27,1587.89,1744.67,1575.05,1550.78,1596.44,1594.0,1602.61,1585.4,1590.59,1594.0,1589.24,1588.17,1570.42,1579.92,1570.58,1573.2,1639.49,1594.41
9,2024-04-28,1587.89,1744.81,1574.98,1550.67,1596.28,1594.16,1602.61,1582.26,1590.17,1594.16,1588.99,1588.28,1570.28,1579.83,1570.5,1574.02,1639.16,1594.41
11,2024-04-29,1588.33,1750.63,1575.77,1550.99,1595.96,1594.45,1602.44,1584.68,1590.52,1594.45,1589.06,1588.5,1571.0,1580.16,1570.65,1573.92,1638.76,1594.41
13,2024-04-30,1588.45,1752.35,1574.18,1549.93,1596.57,1594.85,1603.59,1586.97,1590.35,1594.85,1589.24,1588.71,1570.34,1580.54,1570.49,1574.38,1638.57,1594.41
