,날짜,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
0,2024-04-24,1695.48,1722.17,1678.62,1672.0,1705.58,1706.43,1706.91,1668.77,1705.37,1706.43,1706.45,1700.12,1687.84,1688.6,1681.81,1678.12,1736.71,1697.75
2,2024-04-25,1696.2,1722.41,1678.8,1672.51,1706.66,1707.52,1707.37,1669.84,1706.52,1707.52,1707.07,1701.13,1687.85,1689.16,1682.15,1678.76,1735.38,1700.34
4,2024-04-26,1696.84,1722.68,1679.15,1673.04,1706.83,1709.09,1707.31,1669.99,1707.42,1709.09,1707.95,1701.46,1687.93,1690.26,1683.02,1679.17,1734.55,1701.05
6,2024-04-27,1697.15,1722.17,1679.56,1673.53,1707.05,1710.28,1707.13,1670.12,1707.4,1710.28,1707.52,1702.43,1688.45,1691.43,1683.58,1679.76,1733.17,1701.73
8,2024-04-28,1697.42,1722.42,1679.64,1674.22,1707.24,1710.78,1707.42,1670.12,1707.72,1710.78,1707.64,1702.99,1688.61,1692.04,1683.88,1679.58,1733.3,1702.02
10,2024-04-29,1698.02,1722.52,1679.68,1673.87,1706.61,1711.73,1707.02,1668.42,1708.76,1711.73,1708.4,1704.16,1688.96,1692.31,1685.07,1680.61,1732.88,1702.25
12,2024-04-30,1697.98,1722.68,1679.7,1674.46,1707.57,1712.14,1706.72,1668.18,1708.18,1712.14,1708.21,1704.22,1688.89,1691.92,1684.95,1680.91,1731.58,1701.86
