,날짜,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
0,2024-04-24,1548.39,1588.98,1535.36,1520.0,1555.27,1567.99,1563.32,1523.02,1554.63,1567.99,1549.72,1555.62,1534.42,1544.04,1533.85,1533.44,1611.06,1557.86
2,2024-04-25,1548.2,1588.76,1534.86,1519.84,1557.01,1567.93,1563.08,1523.59,1554.67,1567.93,1549.74,1555.62,1533.23,1543.84,1532.92,1533.18,1609.5,1560.02
4,2024-04-26,1548.16,1589.24,1533.86,1518.82,1557.16,1568.53,1563.07,1524.22,1554.81,1568.53,1549.98,1555.84,1532.65,1543.93,1532.6,1533.07,1608.43,1558.32
6,2024-04-27,1547.88,1589.13,1533.35,1518.69,1556.84,1568.61,1562.8,1522.94,1554.36,1568.61,1549.79,1556.18,1532.16,1543.6,1532.08,1533.36,1607.13,1558.57
8,2024-04-28,1547.67,1588.93,1533.11,1518.13,1557.53,1568.6,1562.66,1522.84,1554.28,1568.6,1549.07,1556.01,1532.45,1544.35,1531.43,1532.64,1606.84,1557.64
10,2024-04-29,1548.02,1589.39,1532.78,1517.98,1556.94,1568.68,1562.32,1522.97,1555.14,1568.68,1549.42,1557.23,1531.68,1544.23,1531.6,1533.12,1608.36,1557.64
12,2024-04-30,1547.58,1588.76,1533.55,1517.44,1556.86,1568.84,1562.07,1520.45,1554.6,1568.84,1550.06,1555.66,1531.58,1543.59,1531.05,1532.78,1606.55,1557.77
