,날짜,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
1,2024-04-24,1725.77,1883.02,1722.13,1696.65,1735.06,1728.63,1738.5,1713.05,1734.53,1728.63,1732.11,1720.41,1713.11,1711.63,1707.84,1707.04,1772.1,1729.24
3,2024-04-25,1726.92,1883.29,1724.15,1697.85,1736.86,1730.29,1742.88,1713.35,1736.1,1730.29,1733.15,1721.63,1714.55,1713.05,1708.35,1707.73,1771.94,1727.76
5,2024-04-26,1727.91,1883.84,1723.51,1698.0,1737.81,1731.59,1742.27,1713.35,1736.58,1731.59,1734.96,1722.74,1715.46,1714.89,1709.58,1708.75,1771.62,1727.73
7,2024-04-27,1728.25,1873.27,1723.58,1698.13,1737.83,1733.12,1742.24,1713.55,1736.97,1733.12,1735.69,1723.67,1716.67,1716.17,1710.9,1708.4,1770.48,1729.09
9,2024-04-28,1728.66,1873.74,1723.7,1697.93,1737.93,1733.68,1744.2,1713.55,1737.14,1733.68,1735.66,1724.49,1716.68,1716.43,1711.13,1709.75,1770.15,1730.91
11,2024-04-29,1729.68,1884.4,1724.27,1698.81,1737.75,1734.67,1743.49,1713.97,1738.19,1734.67,1735.97,1725.17,1717.8,1717.17,1711.82,1710.36,1769.83,1730.91
13,2024-04-30,1730.25,1884.21,1724.64,1699.31,1737.85,1734.45,1742.61,1713.67,1738.68,1734.45,1736.73,1726.26,1718.56,1718.29,1712.38,1710.69,1769.25,1730.91
